organization,occurredAt,customerId,customerName,serviceLocationId,serviceLocationDescription,containerId,containerDescription,containerContentType,containerCubicYards,level,wasEmptied,emptyOccurredAt,levelAtEmpty,latitude,longitude,positionAccuracy,imageUrl
universityofmaryland,2020-03-17T05:58:11.427Z,,University of Maryland,05,UM Technology Ventures,DM5S9RVP4WFG,09,recycle,8,15,f,,,38.979316,-76.925277,24,https://images.compology.com/1/raw_device_data/3a11fe02-0fb8-4e31-89e7-3bd2608100c0
universityofmaryland,2020-03-17T05:58:35.432Z,,University of Maryland,04,Patapsco Building,TBCCR5C8TCBR,08,refuse,8,35,f,,,38.976207,-76.925407,26,https://images.compology.com/1/raw_device_data/883d38fb-88ed-4f1f-bcab-3cc17a767c04
universityofmaryland,2020-03-17T05:58:38.563Z,,University of Maryland,05,UM Technology Ventures,7NGF1MRE6SKT,10,refuse,6,35,f,,,38.979137,-76.925582,30,https://images.compology.com/1/raw_device_data/5d964516-c134-4d29-bc0c-26bbc08e4045
universityofmaryland,2020-03-17T05:59:13.401Z,,University of Maryland,03,Denton Hall,E5RGSTA85A03,03,recycle,8,,f,,,38.992317,-76.950828,30,https://images.compology.com/1/raw_device_data/2880f6a4-30a2-43d8-8dbd-463d94b9c1a8
universityofmaryland,2020-03-17T06:00:04.277Z,,University of Maryland,01,Gosset Football Teamhouse,PRP9VRTJQT8V,02,refuse,6,7,f,,,38.990081,-76.945571,25,https://images.compology.com/1/raw_device_data/38032fab-92ec-48be-aa2e-bb9b5085296d
universityofmaryland,2020-03-17T17:56:00.073Z,,University of Maryland,05,UM Technology Ventures,7NGF1MRE6SKT,10,refuse,6,40,f,,,38.979595,-76.92556,30,https://images.compology.com/1/raw_device_data/d5bfed95-a6c4-4930-ad12-882f707adec5
universityofmaryland,2020-03-17T17:56:32.585Z,,University of Maryland,04,Patapsco Building,TBCCR5C8TCBR,08,refuse,8,40,f,,,38.976467,-76.925422,29,https://images.compology.com/1/raw_device_data/03fd6151-b652-4bae-801c-1912ff7925a1
universityofmaryland,2020-03-17T17:56:50.757Z,,University of Maryland,03,Denton Hall,Z1Y5KFA5H3NA,04,refuse,6,15,f,,,38.992343,-76.950576,26,https://images.compology.com/1/raw_device_data/4542e5b2-e983-4a29-8608-01678bf4b87f
universityofmaryland,2020-03-17T17:57:50.751Z,,University of Maryland,01,Gosset Football Teamhouse,J6MMBE75XVYA,01,recycle,8,25,f,,,38.990203,-76.945732,24,https://images.compology.com/1/raw_device_data/72a14896-ac98-4807-a952-d856684ca54c
universityofmaryland,2020-03-17T17:57:53.882Z,,University of Maryland,04,Patapsco Building,QK633SDAVXXC,07,recycle,8,25,f,,,38.976551,-76.925552,30,https://images.compology.com/1/raw_device_data/9b070a33-0adf-4b85-81bc-c1979fea16bd
universityofmaryland,2020-03-17T17:58:43.921Z,,University of Maryland,05,UM Technology Ventures,DM5S9RVP4WFG,09,recycle,8,25,f,,,38.979351,-76.92556,26,https://images.compology.com/1/raw_device_data/ceaaa37d-138b-4ede-88c4-32943488d5f7
universityofmaryland,2020-03-17T17:58:45.784Z,,University of Maryland,01,Gosset Football Teamhouse,PRP9VRTJQT8V,02,refuse,6,5,f,,,38.990154,-76.945816,23,https://images.compology.com/1/raw_device_data/ad9e648b-17a6-4458-bc89-b3009d234bed
universityofmaryland,2020-03-17T17:58:47.722Z,,University of Maryland,02,Van Munching Hall,K0V7D3VHWHMN,06,refuse,6,5,f,,,38.983703,-76.94783,12,https://images.compology.com/1/raw_device_data/2d615e6c-cd9b-4d74-9801-4ffdb2f659fc
universityofmaryland,2020-03-17T18:00:24.986Z,,University of Maryland,03,Denton Hall,E5RGSTA85A03,03,recycle,8,,f,,,38.992271,-76.95082,30,https://images.compology.com/1/raw_device_data/a529f4cc-af39-4ba6-b71a-6b8852a2ec4c
universityofmaryland,2020-03-17T22:47:39.682Z,,University of Maryland,03,Denton Hall,Z1Y5KFA5H3NA,04,refuse,6,15,f,,,38.992183,-76.950538,27,https://images.compology.com/1/raw_device_data/6f85e678-e4b3-4665-8ba0-06fc34d95a60
universityofmaryland,2020-03-17T22:47:46.141Z,,University of Maryland,04,Patapsco Building,QK633SDAVXXC,07,recycle,8,25,f,,,38.976181,-76.925521,28,https://images.compology.com/1/raw_device_data/5ad0618f-9dae-4451-901d-c8ec21d81031
universityofmaryland,2020-03-17T22:48:16.949Z,,University of Maryland,05,UM Technology Ventures,7NGF1MRE6SKT,10,refuse,6,35,f,,,38.9789,-76.925987,26,https://images.compology.com/1/raw_device_data/6be17063-6b53-4f6a-8c07-db6df3e212bc
universityofmaryland,2020-03-17T22:48:52.918Z,,University of Maryland,03,Denton Hall,E5RGSTA85A03,03,recycle,8,,f,,,38.992183,-76.950782,29,https://images.compology.com/1/raw_device_data/7a76238f-110c-41ca-b00f-1aec959d83b0
universityofmaryland,2020-03-17T22:48:55.572Z,,University of Maryland,02,Van Munching Hall,K0V7D3VHWHMN,06,refuse,6,0,f,,,38.983627,-76.947631,17,https://images.compology.com/1/raw_device_data/22427a22-345f-4b41-b319-779f281a6b91
universityofmaryland,2020-03-17T22:49:27.362Z,,University of Maryland,01,Gosset Football Teamhouse,PRP9VRTJQT8V,02,refuse,6,7,f,,,38.989952,-76.945648,22,https://images.compology.com/1/raw_device_data/5b764d33-d7d3-4a16-8400-7e92ea093908
